,Bird Type,Bird Info,Bird Family
0,Black-bellied Whistling-Duck,Dendrocygna autumnalis,"Ducks, Geese, and Waterfowl Anatidae "
1,Fulvous Whistling-Duck,Dendrocygna bicolor,"Ducks, Geese, and Waterfowl Anatidae "
2,Emperor Goose,Anser canagicus,"Ducks, Geese, and Waterfowl Anatidae "
3,Snow Goose,Anser caerulescens,"Ducks, Geese, and Waterfowl Anatidae "
4,Ross's Goose,Anser rossii,"Ducks, Geese, and Waterfowl Anatidae "
5,Greater White-fronted Goose,Anser albifrons,"Ducks, Geese, and Waterfowl Anatidae "
6,Brant,Branta bernicla,"Ducks, Geese, and Waterfowl Anatidae "
7,Cackling Goose,Branta hutchinsii,"Ducks, Geese, and Waterfowl Anatidae "
8,Canada Goose,Branta canadensis,"Ducks, Geese, and Waterfowl Anatidae "
9,Mute Swan,Cygnus olor,"Ducks, Geese, and Waterfowl Anatidae "
10,Trumpeter Swan,Cygnus buccinator,"Ducks, Geese, and Waterfowl Anatidae "
11,Tundra Swan,Cygnus columbianus,"Ducks, Geese, and Waterfowl Anatidae "
12,Muscovy Duck,Cairina moschata,"Ducks, Geese, and Waterfowl Anatidae "
13,Wood Duck,Aix sponsa,"Ducks, Geese, and Waterfowl Anatidae "
14,Blue-winged Teal,Spatula discors,"Ducks, Geese, and Waterfowl Anatidae "
15,Cinnamon Teal,Spatula cyanoptera,"Ducks, Geese, and Waterfowl Anatidae "
16,Northern Shoveler,Spatula clypeata,"Ducks, Geese, and Waterfowl Anatidae "
17,Gadwall,Mareca strepera,"Ducks, Geese, and Waterfowl Anatidae "
18,Eurasian Wigeon,Mareca penelope,"Ducks, Geese, and Waterfowl Anatidae "
19,American Wigeon,Mareca americana,"Ducks, Geese, and Waterfowl Anatidae "
20,Mallard,Anas platyrhynchos,"Ducks, Geese, and Waterfowl Anatidae "
21,American Black Duck,Anas rubripes,"Ducks, Geese, and Waterfowl Anatidae "
22,Mottled Duck,Anas fulvigula,"Ducks, Geese, and Waterfowl Anatidae "
23,Northern Pintail,Anas acuta,"Ducks, Geese, and Waterfowl Anatidae "
24,Green-winged Teal,Anas crecca,"Ducks, Geese, and Waterfowl Anatidae "
25,Canvasback,Aythya valisineria,"Ducks, Geese, and Waterfowl Anatidae "
26,Redhead,Aythya americana,"Ducks, Geese, and Waterfowl Anatidae "
27,Ring-necked Duck,Aythya collaris,"Ducks, Geese, and Waterfowl Anatidae "
28,Greater Scaup,Aythya marila,"Ducks, Geese, and Waterfowl Anatidae "
29,Lesser Scaup,Aythya affinis,"Ducks, Geese, and Waterfowl Anatidae "
30,Steller's Eider,Polysticta stelleri,"Ducks, Geese, and Waterfowl Anatidae "
31,King Eider,Somateria spectabilis,"Ducks, Geese, and Waterfowl Anatidae "
